count,date,itemID,type,buy_delisted,buy_listed,buy_sold,buy_value,buy_price,buy_price_avg,buy_price_max,buy_price_min,buy_price_stdev,buy_quantity,buy_quantity_avg,buy_quantity_max,buy_quantity_min,buy_quantity_stdev,sell_delisted,sell_listed,sell_sold,sell_value,sell_price,sell_price_avg,sell_price_max,sell_price_min,sell_price_stdev,sell_quantity,sell_quantity_avg,sell_quantity_max,sell_quantity_min,sell_quantity_stdev,
1,2012-10-12T00:00:00.000Z,19721,,,,,,,,1464,1464,,,,62327,62327,,,,,,,,1499,1499,,,,16441,16441,,
1,2012-10-13T00:00:00.000Z,19721,,,,,,,,1498,1498,,,,66351,66351,,,,,,,,1534,1534,,,,13898,13898,,
1,2012-10-14T00:00:00.000Z,19721,,,,,,,,1522,1522,,,,66883,66883,,,,,,,,1566,1566,,,,11320,11320,,
1,2012-10-15T00:00:00.000Z,19721,,,,,,,,1502,1502,,,,67347,67347,,,,,,,,1536,1536,,,,12683,12683,,
1,2012-10-16T00:00:00.000Z,19721,,,,,,,,1454,1454,,,,66932,66932,,,,,,,,1487,1487,,,,15069,15069,,
1,2012-10-17T00:00:00.000Z,19721,,,,,,,,1458,1458,,,,66020,66020,,,,,,,,1498,1498,,,,12951,12951,,
1,2012-10-18T00:00:00.000Z,19721,,,,,,,,1492,1492,,,,66991,66991,,,,,,,,1527,1527,,,,10838,10838,,
1,2012-10-19T00:00:00.000Z,19721,,,,,,,,1495,1495,,,,67515,67515,,,,,,,,1521,1521,,,,11693,11693,,
1,2012-10-20T00:00:00.000Z,19721,,,,,,,,1501,1501,,,,67479,67479,,,,,,,,1528,1528,,,,12352,12352,,
1,2012-10-21T00:00:00.000Z,19721,,,,,,,,1497,1497,,,,67909,67909,,,,,,,,1517,1517,,,,14893,14893,,
1,2012-10-22T00:00:00.000Z,19721,,,,,,,,1469,1469,,,,66310,66310,,,,,,,,1491,1491,,,,17681,17681,,
1,2012-10-23T00:00:00.000Z,19721,,,,,,,,1426,1426,,,,64981,64981,,,,,,,,1454,1454,,,,21112,21112,,
1,2012-10-24T00:00:00.000Z,19721,,,,,,,,1350,1350,,,,63665,63665,,,,,,,,1397,1397,,,,23089,23089,,
1,2012-10-25T00:00:00.000Z,19721,,,,,,,,1321,1321,,,,64524,64524,,,,,,,,1362,1362,,,,24838,24838,,
1,2012-10-26T00:00:00.000Z,19721,,,,,,,,1314,1314,,,,65242,65242,,,,,,,,1344,1344,,,,22152,22152,,
1,2012-10-27T00:00:00.000Z,19721,,,,,,,,1296,1296,,,,65324,65324,,,,,,,,1317,1317,,,,23220,23220,,
1,2012-10-29T00:00:00.000Z,19721,,,,,,,,1329,1329,,,,66226,66226,,,,,,,,1358,1358,,,,17282,17282,,
1,2012-10-30T00:00:00.000Z,19721,,,,,,,,1278,1278,,,,64309,64309,,,,,,,,1301,1301,,,,19320,19320,,
1,2012-10-31T00:00:00.000Z,19721,,,,,,,,1209,1209,,,,64253,64253,,,,,,,,1239,1239,,,,23121,23121,,
1,2012-11-01T00:00:00.000Z,19721,,,,,,,,1214,1214,,,,64879,64879,,,,,,,,1242,1242,,,,21680,21680,,
1,2012-11-02T00:00:00.000Z,19721,,,,,,,,1226,1226,,,,63401,63401,,,,,,,,1253,1253,,,,20168,20168,,
1,2012-11-03T00:00:00.000Z,19721,,,,,,,,1380,1380,,,,69459,69459,,,,,,,,1417,1417,,,,13502,13502,,
1,2012-11-04T00:00:00.000Z,19721,,,,,,,,1439,1439,,,,68814,68814,,,,,,,,1472,1472,,,,12461,12461,,
1,2012-11-05T00:00:00.000Z,19721,,,,,,,,1462,1462,,,,69359,69359,,,,,,,,1495,1495,,,,11003,11003,,
1,2012-11-06T00:00:00.000Z,19721,,,,,,,,1436,1436,,,,68199,68199,,,,,,,,1468,1468,,,,12162,12162,,
1,2012-11-07T00:00:00.000Z,19721,,,,,,,,1541,1541,,,,70827,70827,,,,,,,,1604,1604,,,,8074,8074,,
1,2012-11-08T00:00:00.000Z,19721,,,,,,,,1669,1669,,,,73954,73954,,,,,,,,1720,1720,,,,6372,6372,,
1,2012-11-09T00:00:00.000Z,19721,,,,,,,,1801,1801,,,,75026,75026,,,,,,,,1863,1863,,,,5284,5284,,
1,2012-11-10T00:00:00.000Z,19721,,,,,,,,1949,1949,,,,75216,75216,,,,,,,,2008,2008,,,,4559,4559,,
1,2012-11-11T00:00:00.000Z,19721,,,,,,,,2015,2015,,,,73516,73516,,,,,,,,2073,2073,,,,6892,6892,,
1,2012-11-12T00:00:00.000Z,19721,,,,,,,,2021,2021,,,,72830,72830,,,,,,,,2074,2074,,,,8759,8759,,
1,2012-11-13T00:00:00.000Z,19721,,,,,,,,2009,2009,,,,73781,73781,,,,,,,,2062,2062,,,,8413,8413,,
1,2012-11-14T00:00:00.000Z,19721,,,,,,,,2061,2061,,,,74722,74722,,,,,,,,2118,2118,,,,6176,6176,,
1,2012-11-15T00:00:00.000Z,19721,,,,,,,,2178,2178,,,,76090,76090,,,,,,,,2281,2281,,,,3156,3156,,
1,2012-11-16T00:00:00.000Z,19721,,,,,,,,2199,2199,,,,73249,73249,,,,,,,,2289,2289,,,,6325,6325,,
1,2012-11-17T00:00:00.000Z,19721,,,,,,,,2146,2146,,,,72085,72085,,,,,,,,2247,2247,,,,6383,6383,,
1,2012-11-18T00:00:00.000Z,19721,,,,,,,,2181,2181,,,,71608,71608,,,,,,,,2292,2292,,,,6078,6078,,
1,2012-11-19T00:00:00.000Z,19721,,,,,,,,2407,2407,,,,73274,73274,,,,,,,,2507,2507,,,,4354,4354,,
1,2012-11-20T00:00:00.000Z,19721,,,,,,,,2270,2270,,,,71994,71994,,,,,,,,2374,2374,,,,8293,8293,,
1,2012-11-21T00:00:00.000Z,19721,,,,,,,,2326,2326,,,,72887,72887,,,,,,,,2416,2416,,,,10775,10775,,
1,2012-11-22T00:00:00.000Z,19721,,,,,,,,2412,2412,,,,74318,74318,,,,,,,,2473,2473,,,,8801,8801,,
1,2012-11-23T00:00:00.000Z,19721,,,,,,,,2570,2570,,,,74532,74532,,,,,,,,2646,2646,,,,4964,4964,,
1,2012-11-24T00:00:00.000Z,19721,,,,,,,,2672,2672,,,,75075,75075,,,,,,,,2770,2770,,,,5342,5342,,
1,2012-11-25T00:00:00.000Z,19721,,,,,,,,2823,2823,,,,75881,75881,,,,,,,,2896,2896,,,,5508,5508,,
1,2012-11-26T00:00:00.000Z,19721,,,,,,,,2875,2875,,,,75665,75665,,,,,,,,2940,2940,,,,4901,4901,,
1,2012-11-27T00:00:00.000Z,19721,,,,,,,,2901,2901,,,,73923,73923,,,,,,,,2977,2977,,,,5365,5365,,
1,2012-11-28T00:00:00.000Z,19721,,,,,,,,2966,2966,,,,75246,75246,,,,,,,,3033,3033,,,,6291,6291,,
1,2012-11-29T00:00:00.000Z,19721,,,,,,,,3145,3145,,,,77673,77673,,,,,,,,3245,3245,,,,3344,3344,,
1,2012-11-30T00:00:00.000Z,19721,,,,,,,,3471,3471,,,,77790,77790,,,,,,,,3591,3591,,,,4541,4541,,
1,2012-12-01T00:00:00.000Z,19721,,,,,,,,3608,3608,,,,75912,75912,,,,,,,,3686,3686,,,,7779,7779,,
1,2012-12-02T00:00:00.000Z,19721,,,,,,,,3408,3408,,,,73971,73971,,,,,,,,3517,3517,,,,11135,11135,,
1,2012-12-03T00:00:00.000Z,19721,,,,,,,,3292,3292,,,,72264,72264,,,,,,,,3410,3410,,,,14283,14283,,
1,2012-12-04T00:00:00.000Z,19721,,,,,,,,3075,3075,,,,71856,71856,,,,,,,,3195,3195,,,,18978,18978,,
