count,date,itemID,type,buy_delisted,buy_listed,buy_sold,buy_value,buy_price,buy_price_avg,buy_price_max,buy_price_min,buy_price_stdev,buy_quantity,buy_quantity_avg,buy_quantity_max,buy_quantity_min,buy_quantity_stdev,sell_delisted,sell_listed,sell_sold,sell_value,sell_price,sell_price_avg,sell_price_max,sell_price_min,sell_price_stdev,sell_quantity,sell_quantity_avg,sell_quantity_max,sell_quantity_min,sell_quantity_stdev,
1,2012-10-12T00:00:00.000Z,19976,,,,,,,,290,290,,,,40214,40214,,,,,,,,332,332,,,,10545,10545,,
1,2012-10-13T00:00:00.000Z,19976,,,,,,,,383,383,,,,39159,39159,,,,,,,,423,423,,,,8299,8299,,
1,2012-10-14T00:00:00.000Z,19976,,,,,,,,306,306,,,,37805,37805,,,,,,,,347,347,,,,13351,13351,,
1,2012-10-15T00:00:00.000Z,19976,,,,,,,,307,307,,,,41808,41808,,,,,,,,351,351,,,,16178,16178,,
1,2012-10-16T00:00:00.000Z,19976,,,,,,,,315,315,,,,44020,44020,,,,,,,,360,360,,,,16382,16382,,
1,2012-10-17T00:00:00.000Z,19976,,,,,,,,353,353,,,,46505,46505,,,,,,,,392,392,,,,13182,13182,,
1,2012-10-18T00:00:00.000Z,19976,,,,,,,,382,382,,,,45946,45946,,,,,,,,422,422,,,,11356,11356,,
1,2012-10-19T00:00:00.000Z,19976,,,,,,,,424,424,,,,46414,46414,,,,,,,,467,467,,,,10094,10094,,
1,2012-10-20T00:00:00.000Z,19976,,,,,,,,510,510,,,,47853,47853,,,,,,,,557,557,,,,12576,12576,,
1,2012-10-21T00:00:00.000Z,19976,,,,,,,,419,419,,,,47532,47532,,,,,,,,462,462,,,,20421,20421,,
1,2012-10-22T00:00:00.000Z,19976,,,,,,,,407,407,,,,46293,46293,,,,,,,,449,449,,,,22712,22712,,
1,2012-10-23T00:00:00.000Z,19976,,,,,,,,413,413,,,,65784,65784,,,,,,,,466,466,,,,20869,20869,,
1,2012-10-24T00:00:00.000Z,19976,,,,,,,,317,317,,,,457678,457678,,,,,,,,349,349,,,,22471,22471,,
1,2012-10-25T00:00:00.000Z,19976,,,,,,,,286,286,,,,92890,92890,,,,,,,,316,316,,,,26837,26837,,
1,2012-10-26T00:00:00.000Z,19976,,,,,,,,265,265,,,,42653,42653,,,,,,,,300,300,,,,28049,28049,,
1,2012-10-27T00:00:00.000Z,19976,,,,,,,,250,250,,,,39627,39627,,,,,,,,280,280,,,,30984,30984,,
1,2012-10-29T00:00:00.000Z,19976,,,,,,,,218,218,,,,42199,42199,,,,,,,,246,246,,,,36038,36038,,
